WL,K_CAR
261.1212286,0.118675943
261.7712698,0.122628885
262.3144825,0.127570062
262.6340609,0.12361712
263.0713522,0.130534768
263.7109826,0.134883003
263.7729935,0.132017121
264.3610238,0.138835945
264.4230347,0.135970062
265.011065,0.142788886
265.6135675,0.141899474
265.672424,0.147334769
266.6974986,0.149064181
266.9331223,0.154252417
267.8352974,0.156228887
268.2698676,0.160181829
269.4581328,0.163640653
270.754587,0.167593594
271.9428523,0.171052418
272.8095738,0.176323007
273.6729696,0.177970065
274.1075398,0.181923007
274.759395,0.187852419
274.9703309,0.182911242
275.4112503,0.193781831
275.6212791,0.187852419
275.95537,0.199711244
275.9589982,0.203664185
276.2735879,0.194275949
276.6081323,0.206628891
276.6117605,0.210581833
276.6153886,0.214534774
276.7276593,0.219475951
276.9277107,0.20267595
277.5827406,0.212064186
277.5877293,0.21749948
278.0222995,0.221452422
279.0981428,0.219805363
279.8488144,0.216017127
281.1348377,0.208605362
281.1384659,0.212558303
281.6680731,0.20267595
282.1035503,0.207617127
282.3066252,0.194111243
282.527236,0.199711244
283.0486799,0.180934772
283.0523081,0.184887713
283.1645787,0.18982889
283.5819153,0.175005359
284.0173925,0.179946536
284.0210206,0.183899478
284.3260864,0.16413477
284.3297146,0.168087712
284.3333427,0.172040653
284.8566007,0.155240652
284.9688714,0.160181829
285.295706,0.16413477
285.2993342,0.168087712
285.6007719,0.144370063
285.6044,0.148323004
285.6080281,0.152275946
285.9348628,0.156228887
285.9384909,0.160181829
286.3516702,0.140828886
286.572659,0.146840651
286.5762872,0.150793593
286.8806727,0.130287709
286.993019,0.135311239
287.2140834,0.141405357
287.4856494,0.120355943
287.6305129,0.125593591
287.8514261,0.131523003
288.1594398,0.114970061
288.4887688,0.121640649
288.7974628,0.105828883
288.8010909,0.109781825
289.1279256,0.113734766
289.4395674,0.101134765
290.0766834,0.091005353
290.188954,0.09594653
290.8265991,0.086393588
291.04721,0.091993588
291.6881808,0.086064176
291.898512,0.080464176
292.64873,0.076181822
293.3992505,0.072228881
294.041733,0.067946528
295.2239513,0.064817116
296.5131493,0.060864174
297.6962746,0.058722997
298.5560423,0.056417115
299.80929,0.055217115
301.1003021,0.053240644
302.3236105,0.052958291
303.5085499,0.052793585
304.6533062,0.050770056
305.8770682,0.05098182
307.0621588,0.05098182
307.869268,0.049993585
309.1091334,0.05098182
310.2946775,0.051475938
311.804184,0.052793585
313.0988242,0.054770056
314.3934643,0.056746527
315.5814272,0.059875939
316.5533144,0.062346527
316.9878845,0.066299469
317.8515827,0.068275939
318.2861528,0.072228881
319.149851,0.074205352
319.5835141,0.077170058
320.7717793,0.080628881
322.06778,0.084087705
323.25408,0.085405352
324.7669123,0.090346529
325.952154,0.090511235
327.2477012,0.093475941
328.5441555,0.097428883
329.947287,0.100228883
331.1352499,0.103358295
332.3235151,0.106817119
333.6181553,0.10879359
335.0200774,0.110275943
336.3142641,0.111758296
337.6079972,0.112746531
338.9017303,0.113734766
340.1950099,0.114228884
341.4901036,0.116699473
342.6770083,0.118675943
343.9734625,0.122628885
345.3781058,0.127075944
346.67456,0.131028885
347.8628252,0.134487709
349.1956832,0.136181827
350.3016171,0.133781827
351.0419297,0.135475945
351.2801396,0.130905356
351.8099156,0.127075944
352.4854747,0.12361712
353.1282596,0.119664179
353.7710445,0.115711237
354.5206579,0.11077006
355.3816349,0.109781825
355.7012133,0.105828883
356.9908648,0.10237006
358.3882518,0.098911236
359.4650022,0.098252412
360.8652614,0.097923
362.2661254,0.098252412
363.5607656,0.100228883
364.7487284,0.103358295
366.0442756,0.106323001
367.3398228,0.109287707
368.636277,0.113240649
369.9327313,0.11719359
371.2309996,0.123123002
372.5041733,0.126864179
373.2853817,0.131193591
374.2201956,0.135193592
375.2025245,0.13646418
375.5573512,0.141570063
376.6463264,0.142492416
376.8554683,0.147334769
377.9348643,0.149558299
378.6933212,0.154252417
379.4510979,0.158205358
380.3147961,0.160181829
380.6416307,0.16413477
381.3994074,0.168087712
382.2631055,0.170064183
382.6976757,0.174017124
383.5613738,0.175993595
383.9962464,0.180275948
384.8596421,0.181923007
385.1864768,0.185875948
385.9442535,0.18982889
386.8079516,0.191805361
387.1347863,0.195758302
387.892563,0.199711244
388.7567146,0.202181832
389.1926454,0.207617127
390.0563435,0.209593597
390.3836317,0.214040657
390.4966582,0.219805363
391.0404756,0.225405363
391.3586935,0.219970069
391.7982523,0.229358305
392.4492005,0.234299482
393.1001487,0.239240658
393.752004,0.245170071
394.4038593,0.251099483
394.6147951,0.246158306
395.0557145,0.257028895
395.5998343,0.262958307
395.9194126,0.259005366
396.2498754,0.266911249
396.2535036,0.27086419
396.9026377,0.273828896
397.0149084,0.278770073
397.6667637,0.284699486
397.8776995,0.279758309
398.3186189,0.290628898
398.5295548,0.285687721
398.9704742,0.29655831
399.6223294,0.302487722
399.8332653,0.297546545
400.2732776,0.307428899
400.8164904,0.312370076
