WL,K_CHL
330.5886186,0.718753319
330.857617,0.733386146
331.0881872,0.703555842
332.3982448,0.71313413
332.2026095,0.700672527
333.966044,0.721603263
333.8166004,0.708661714
334.7580951,0.733470243
335.2960921,0.743141364
335.6323402,0.722537671
335.2960921,0.711605099
335.1615929,0.703195428
336.7083342,0.734836814
336.9773327,0.74745132
337.6978643,0.757618011
338.2428483,0.729036053
338.3895747,0.738796367
339.3759025,0.720388533
340.3024529,0.734684973
340.6568477,0.768190169
340.6760619,0.757577965
340.7029617,0.748775843
340.9719602,0.727078893
341.8193054,0.73672899
342.0210543,0.769211343
342.2900528,0.75813861
342.2900528,0.748047005
343.0970483,0.729370528
343.3660468,0.738516045
343.3660468,0.715809934
343.9488768,0.71062397
345.0338374,0.736918208
344.57654,0.722537671
344.9800377,0.714128
345.8542828,0.748082046
346.7285279,0.734521451
347.4548238,0.722958154
348.0001571,0.746543458
348.4501182,0.732629276
348.477018,0.765426991
349.1158894,0.720855736
349.6875112,0.744402815
350.135842,0.729171966
350.6828056,0.710680035
351.3015022,0.742048107
351.608929,0.703435704
351.9739984,0.72716299
352.2429969,0.720014769
352.6464946,0.759540222
352.6464946,0.749448617
352.7809939,0.738235723
353.0499923,0.768370376
353.7224886,0.726275302
353.9530587,0.713647447
354.529484,0.751130551
354.3949848,0.740057818
354.2604855,0.702522654
354.2604855,0.761222156
355.3364795,0.734941935
355.7399772,0.743982331
356.7487216,0.72958077
357.7910907,0.722012066
358.4299621,0.738263755
359.1408867,0.724700157
360.0588974,0.738983249
361.1007328,0.749208341
362.007642,0.739020625
362.3304402,0.728256247
363.1105358,0.753485259
363.5985759,0.767349202
363.7650988,0.73674067
364.0789304,0.751130551
365.4549611,0.733340863
366.3654175,0.747766683
366.634416,0.761726736
367.0571279,0.737434802
368.1139077,0.748082046
368.9820392,0.735152177
369.4140671,0.717211546
369.3244009,0.704036395
369.3244009,0.694785757
369.4589001,0.750710068
370.6096159,0.736366907
370.6155936,0.724387798
370.6693933,0.717211546
371.7453873,0.75218176
372.1040519,0.782339774
372.148885,0.769912149
372.2833843,0.763184413
371.566055,0.733750565
373.4938775,0.747206038
373.3593782,0.769071182
373.7897758,0.761053963
375.1182145,0.749577997
375.5113661,0.764305702
376.2030765,0.775638735
376.1262198,0.738516045
376.7554841,0.753022727
377.2406421,0.764586024
378.0668518,0.757858288
378.739348,0.81868824
378.8738472,0.807475345
378.8738472,0.79738374
378.8738472,0.787292135
378.8738472,0.777200531
378.8738472,0.768230215
380.2799757,0.755335387
379.8153419,0.791496971
379.9498412,0.780564399
380.4878382,0.770192472
380.2935615,0.737394756
381.8104141,0.757858288
382.1979,0.772875557
383.2525448,0.784395471
383.3123223,0.771594083
384.5497153,0.799906642
384.791814,0.78785278
385.6948803,0.844838311
385.7333087,0.833208938
