WL,K_LMA
250.0316114,0.868905855
250.1578646,0.867118675
250.662877,0.86399111
250.9153833,0.861310339
250.9153833,0.857735979
250.999552,0.854459482
251.9254083,0.851927643
251.9254083,0.849246873
251.9254083,0.846566103
252.1779145,0.843736401
252.4304207,0.840981165
252.682927,0.833609047
253.019602,0.836885544
253.9454582,0.827353916
254.0296269,0.824226351
254.1979644,0.830034686
255.0396519,0.818715878
255.7130019,0.813056475
255.7130019,0.810375704
256.7230268,0.802333394
256.9755331,0.805460959
257.4805455,0.798982431
258.2380643,0.79540807
258.995583,0.791610312
260.005608,0.785801977
261.0998017,0.780291505
262.2781641,0.775525691
262.4465016,0.771951331
262.9515141,0.768674834
263.9615391,0.764206883
264.5507203,0.761898442
265.0557328,0.759441069
266.0657577,0.754526324
266.318264,0.751994485
267.3282889,0.748047796
267.8333014,0.744250038
268.7170733,0.740228882
268.8433264,0.737548112
270.1900263,0.733080162
270.8633763,0.729505801
271.0317138,0.726676099
272.1259075,0.721910286
272.1259075,0.719229515
273.3884387,0.714761565
273.640945,0.711634
274.2301262,0.708208571
275.0718137,0.699868397
275.4084886,0.703144894
275.4084886,0.698230148
276.1660074,0.691528223
276.4185136,0.694208993
277.4285386,0.687060272
277.4285386,0.684379502
277.9335511,0.681103005
277.9335511,0.676783986
278.1860573,0.678347769
278.943576,0.672464967
279.1119135,0.66918847
279.616926,0.665316247
279.953601,0.659358979
280.290276,0.661890818
281.2161322,0.653997439
281.2161322,0.651540066
281.7211447,0.649306091
281.9736509,0.641933973
282.2261571,0.646401923
282.2261571,0.643721153
282.9836759,0.632104482
283.2361821,0.633668264
283.3203509,0.636721364
283.9937008,0.624955761
284.3303758,0.626891873
284.7512196,0.622721786
285.1720633,0.616764519
285.256232,0.620041016
285.6770758,0.614083748
286.266257,0.61155191
286.266257,0.608871139
286.6871007,0.604849984
287.276282,0.602169214
287.276282,0.599488444
287.5287882,0.596658742
288.2863069,0.590105748
288.3704757,0.59293545
289.2963319,0.580723052
289.3805006,0.583701685
290.3063568,0.573574331
290.3063568,0.571116958
290.5588631,0.576255101
290.8113693,0.569106381
291.3163818,0.56553202
292.242238,0.554808939
292.4105755,0.558681163
293.0839255,0.551979237
293.3364317,0.549000604
