TPAR,GPP,LIGHT,TREE,FIG,PANEL,LAI
63.1,0.7,FR,1,2,B,3
404,19.2,PAR,1,2,B,3
530.2,22.8,PAR,1,2,B,3
441.9,20.5,PARFR,1,2,B,3
467.1,21.3,PARFR,1,2,B,3
501,22.2,PARFR,1,2,B,3
548.2,23,PARFR,1,2,B,3
62,0.6,FR,2,3,A,1.6
406,15.2,PAR,2,3,A,1.6
529.9,17.9,PAR,2,3,A,1.6
443.7,16,PARFR,2,3,A,1.6
468.9,16.5,PARFR,2,3,A,1.6
503,16.9,PARFR,2,3,A,1.6
550.6,17.5,PARFR,2,3,A,1.6
62.9,0.7,FR,3,3,A,4.6
437.4,18.2,PAR,3,3,A,4.6
581.1,22.2,PAR,3,3,A,4.6
478.7,19.3,PARFR,3,3,A,4.6
505.7,20.2,PARFR,3,3,A,4.6
539.8,21,PARFR,3,3,A,4.6
591,21.9,PARFR,3,3,A,4.6
70.1,0.8,FR,4,3,A,5.8
404.2,19.2,PAR,4,3,A,5.8
530.8,22.8,PAR,4,3,A,5.8
443.7,20.5,PARFR,4,3,A,5.8
468.9,21.3,PARFR,4,3,A,5.8
501.2,22.2,PARFR,4,3,A,5.8
547.9,23,PARFR,4,3,A,5.8
70.1,1,FR,5,3,A,6.8
425.7,20,PAR,5,3,A,6.8
574,24.3,PAR,5,3,A,6.8
465.3,21.5,PARFR,5,3,A,6.8
493.1,22.5,PARFR,5,3,A,6.8
529,23.6,PARFR,5,3,A,6.8
577.5,24.4,PARFR,5,3,A,6.8
71,0.7,FR,6,3,B,4.2
207.5,12.5,PAR,6,3,B,4.2
349.4,17,PAR,6,3,B,4.2
228.1,13.4,PARFR,6,3,B,4.2
247.9,14,PARFR,6,3,B,4.2
276.6,14.7,PARFR,6,3,B,4.2
296.4,15.3,PARFR,6,3,B,4.2
349.4,16,PARFR,6,3,B,4.2
72.1,0.3,FR,7,4,A,1.4
368.9,7.3,PAR,7,4,A,1.4
488.5,9.5,PAR,7,4,A,1.4
417.2,8.2,PARFR,7,4,A,1.4
442.6,8.7,PARFR,7,4,A,1.4
473,9,PARFR,7,4,A,1.4
502.5,9.4,PARFR,7,4,A,1.4
73,0.7,FR,8,4,A,1.7
376.2,9.3,PAR,8,4,A,1.7
527.9,12.1,PAR,8,4,A,1.7
423.8,10.4,PARFR,8,4,A,1.7
449.2,10.9,PARFR,8,4,A,1.7
478.7,11.4,PARFR,8,4,A,1.7
509.8,11.7,PARFR,8,4,A,1.7
71.7,0.6,FR,9,4,B,3.6
383.1,16.4,PAR,9,4,B,3.6
536.9,21.4,PAR,9,4,B,3.6
426.1,17.8,PARFR,9,4,B,3.6
